Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
3,t,Inmobiliaria Tecnorete,03-09-2016,9.2,28031,3.0,2.0,2.0,260.0,167,2000.0,Chueca,7809,1315000
3,h,Inmobiliaria Grupo Fincasa,03-09-2016,9.2,28026,3.0,2.0,1.0,778.0,154,1950.0,Villaverde,7809,1500000
4,h,Inmobiliaria Gicoc,03-09-2016,9.2,28029,4.0,4.0,3.0,1135.0,275,1960.0,Barajas,7809,3230000
2,h,Inmobiliaria Habita2,03-09-2016,9.2,28027,2.0,1.0,1.0,253.0,missing,,Malasaña,7809,1080000
4,u,Inmobiliaria Proincasa,03-09-2016,9.2,28005,,,,,missing,,Hortaleza,7809,1450000
2,h,Inmobiliaria La Playa,03-09-2016,9.2,28002,,,,,missing,,Lavapiés,7809,1305000
2,u,Inmobiliaria Tecnorete,03-09-2016,13.0,28029,2.0,1.0,2.0,202.0,missing,1974.0,Chamberí,6795,636000
2,h,Inmobiliaria Bankia,03-09-2016,13.0,28028,2.0,1.0,2.0,599.0,missing,,Paseo de la Castellana,6795,1275000
3,u,Gilmar,03-09-2016,13.0,28014,3.0,1.0,2.0,348.0,121,1950.0,Tetuán,6795,875000
4,t,Engel & Völkers,03-09-2016,13.0,28023,,,,,,,Fuencarral-El Pardo,6795,1230000
3,t,Inmobiliaria Activa,03-09-2016,13.0,28030,3.0,2.0,2.0,362.0,,1997.0,Hortaleza,6795,895000
3,t,Inmobiliaria Barreras,03-09-2016,13.0,28019,,,,,,,Ciudad Universitaria,6795,1020000
2,h,Idealista,03-09-2016,13.9,28026,2.0,1.0,2.0,768.0,,,Lavapiés,10969,1410000
3,t,Inmobiliaria Don Piso,03-09-2016,13.9,28008,,,,,,,Villaverde,10969,990000
3,h,Century 21,03-09-2016,13.9,28006,,,,,,,Chueca,10969,1057000
3,t,Inmobiliaria Barreras,03-09-2016,13.9,28012,3.0,1.0,2.0,287.0,,,Paseo de la Castellana,10969,760000
2,h,Inmobiliaria Barreras,03-09-2016,13.9,28013,2.0,2.0,1.0,176.0,125,2008.0,La Latina,10969,825000
4,h,Inmobiliaria Activa,03-09-2016,13.1,28032,4.0,2.0,2.0,697.0,255,1940.0,La Latina,4605,1620000
3,h,Remax,03-09-2016,10.8,28026,3.0,2.0,4.0,700.0,,,Chueca,3589,870000
2,h,Vivienda2,03-09-2016,10.8,28008,2.0,1.0,1.0,566.0,75,1950.0,Villa de Vallecas,3589,645000
3,h,Inmobiliaria Novo,03-09-2016,11.2,28008,3.0,2.0,2.0,663.0,,1940.0,Usera,10579,1550000
3,h,Inmobiliaria Soluciones,03-09-2016,11.2,28027,3.0,1.0,2.0,366.0,156,1920.0,Chamartín,10579,1635000
4,h,Inmobiliaria Bankia,03-09-2016,10.7,28001,4.0,2.0,2.0,682.0,240,1960.0,San Blas-Canillejas,6938,1940000
4,h,Inmobiliaria Grupo Fincasa,03-09-2016,10.7,28024,4.0,2.0,2.0,617.0,268,1940.0,Malasaña,6938,1850000
2,h,Inmobiliaria Soluciones,03-09-2016,10.7,28013,,,,,,,Carabanchel,6938,1060000
3,h,Idealista,03-09-2016,10.7,28001,3.0,1.0,1.0,329.0,117,1930.0,Villaverde,6938,930000
5,h,Inmobiliaria Tecnorete,03-09-2016,10.7,28023,,,,,,,Ciudad Lineal,6938,1952000
2,u,Inmobiliaria Barreras,03-09-2016,5.2,28004,2.0,1.0,2.0,50.0,,1970.0,Retiro,11918,428000
2,h,Inmobiliaria La Playa,03-09-2016,5.2,28020,2.0,1.0,0.0,225.0,108,1905.0,Hortaleza,11918,1026000
2,u,Inmobiliaria NuevaVida,03-09-2016,5.9,28028,2.0,1.0,1.0,50.0,69,1960.0,Embajadores,7082,521500
3,u,Inmobiliaria MetroCuadrado,03-09-2016,11.8,28015,3.0,1.0,2.0,385.0,140,2000.0,Ciudad Lineal,4480,851000
4,h,Inmobiliaria Barreras,03-09-2016,11.8,28028,4.0,1.0,2.0,717.0,180,1960.0,Carabanchel,4480,1300000
4,h,Inmobiliaria MetroCuadrado,03-09-2016,11.8,28026,3.0,2.0,2.0,562.0,,,Arganzuela,4480,1110000
4,h,Remax,03-09-2016,11.8,28001,4.0,2.0,2.0,556.0,214,1957.0,La Latina,4480,1235000
5,h,Inmobiliaria Fincas Asesoria,03-09-2016,11.7,28015,4.0,3.0,2.0,661.0,253,1940.0,Chamartín,5678,1590000
4,h,Inmobiliaria Interlar,03-09-2016,7.8,28026,4.0,2.0,1.0,652.0,189,1890.0,Paseo de la Castellana,8920,2650000
3,t,Remax,03-09-2016,7.8,28012,3.0,1.0,2.0,389.0,,,La Latina,8920,1615000
4,h,Remax,03-09-2016,7.8,28001,4.0,3.0,2.0,934.0,,,Ciudad Lineal,8920,3225000
4,h,Idealista,03-09-2016,9.0,28018,4.0,2.0,2.0,687.0,215,1935.0,Chamartín,3265,2950000
3,h,Inmobiliaria Barreras,03-09-2016,3.2,28012,3.0,1.0,1.0,314.0,,1900.0,Carabanchel,3106,1330000
3,u,Inmobiliaria Activa,03-09-2016,11.4,28013,3.0,1.0,2.0,50.0,96,1989.0,Ciudad Universitaria,7822,820000
2,t,Inmobiliaria Novo,03-09-2016,11.4,28013,2.0,2.0,1.0,133.0,104,2009.0,Retiro,7822,795000
2,u,Inmobiliaria Zome,03-09-2016,8.9,28002,2.0,1.0,1.0,50.0,100,1960.0,Moncloa-Aravaca,2379,722500
3,h,Alfa Inmobiliaria,03-09-2016,8.1,28001,3.0,1.0,0.0,513.0,,,Moncloa-Aravaca,6923,1365000
3,h,Engel & Völkers,03-09-2016,8.1,28021,3.0,2.0,2.0,692.0,313,1955.0,Moncloa-Aravaca,6923,1750000
3,h,Engel & Völkers,03-09-2016,9.3,28030,3.0,2.0,2.0,357.0,144,1935.0,Vicálvaro,5051,1577500
4,h,Inmobiliaria NuevaVida,03-09-2016,9.3,28016,,,,,,,Moncloa-Aravaca,5051,1802000
3,t,Inmobiliaria Barreras,03-09-2016,13.6,28016,3.0,2.0,1.0,182.0,,,Chamberí,3582,752000
2,u,Inmobiliaria Bankia,03-09-2016,13.6,28023,,,,,,,Carabanchel,3582,670000
3,h,Redpiso,03-09-2016,3.4,28012,3.0,2.0,0.0,187.0,,,Arganzuela,2954,1270000
2,h,Gilmar,03-09-2016,7.8,28008,2.0,1.0,1.0,371.0,93,1930.0,Latina,11204,850000
3,h,Inmobiliaria Habita2,03-09-2016,7.8,28018,2.0,1.0,1.0,286.0,110,1890.0,Villa de Vallecas,11204,784000
3,h,Inmobiliaria La Playa,03-09-2016,9.2,28019,,,,,,,Fuencarral-El Pardo,3445,845000
2,t,Donpiso,03-09-2016,1.6,28024,2.0,1.0,1.0,115.0,,,Vicálvaro,4553,750000
2,h,Inmobiliaria NuevaVida,03-09-2016,1.6,28032,2.0,1.0,1.0,178.0,70,1900.0,Villa de Vallecas,4553,890000
2,u,Inmobiliaria Proincasa,03-09-2016,1.6,28030,2.0,1.0,1.0,50.0,129,1900.0,Ciudad Lineal,4553,1260000
2,u,Idealista,03-09-2016,1.6,28014,2.0,1.0,1.0,2886.0,122,1930.0,Villaverde,4553,855000
4,h,Inmobiliaria Interlar,03-09-2016,13.9,28010,4.0,4.0,2.0,1157.0,,,Arganzuela,9028,1924500
4,h,Look & Find,03-09-2016,13.9,28032,,,,,,,Salamanca,9028,1416000
2,u,Redpiso,03-09-2016,13.9,28012,2.0,1.0,1.0,65.0,,1975.0,Moncloa-Aravaca,9028,492500
2,h,Donpiso,03-09-2016,8.5,28005,2.0,1.0,2.0,239.0,110,1940.0,Tetuán,4898,900000
1,u,Look & Find,03-09-2016,7.7,28007,1.0,1.0,1.0,50.0,51,1930.0,Carabanchel,8989,520000
3,t,Inmobiliaria Barreras,03-09-2016,7.7,28011,3.0,2.0,2.0,1170.0,,,Puente de Vallecas,8989,1350000
3,h,Inmobiliaria MetroCuadrado,03-09-2016,8.0,28023,3.0,2.0,2.0,684.0,147,1950.0,Embajadores,9264,1425000
2,u,Look & Find,03-09-2016,8.0,28010,2.0,1.0,1.0,263.0,113,1980.0,La Latina,9264,660000
2,u,Look & Find,03-09-2016,8.0,28023,2.0,1.0,1.0,50.0,83,1980.0,Cuzco,9264,550000
2,u,Inmobiliaria Gicoc,03-09-2016,9.4,28020,2.0,1.0,1.0,50.0,56,1975.0,Chamberí,1308,396000
3,h,Inmobiliaria Don Piso,03-09-2016,5.8,28022,3.0,2.0,0.0,327.0,144,1910.0,Chueca,2970,1250000
2,h,Donpiso,03-09-2016,1.6,28010,2.0,1.0,0.0,128.0,,,Chamberí,5825,1000000
3,h,Tecnocasa,03-09-2016,1.6,28027,3.0,2.0,2.0,50.0,137,2004.0,Moncloa-Aravaca,5825,1252000
2,u,Inmobiliaria Activa,03-09-2016,3.5,28018,2.0,2.0,1.0,4332.0,85,2010.0,La Latina,6244,700000
2,h,Inmobiliaria Don Piso,03-09-2016,3.5,28002,2.0,1.0,0.0,104.0,70,1880.0,Centro,6244,860000
2,h,Inmobiliaria Soluciones,03-09-2016,3.5,28025,2.0,1.0,0.0,107.0,64,1910.0,Latina,6244,870000
2,h,Inmobiliaria Grupo Fincasa,03-09-2016,3.5,28021,3.0,1.0,0.0,152.0,,,Malasaña,6244,1116000
4,h,Inmobiliaria Barreras,03-09-2016,3.5,28006,4.0,2.0,1.0,266.0,175,1950.0,Chueca,6244,1450000
2,t,Redpiso,03-09-2016,3.5,28023,2.0,3.0,0.0,2778.0,3558,,Fuencarral-El Pardo,6244,930000
2,h,Remax,03-09-2016,4.4,28013,2.0,1.0,1.0,168.0,,,Fuencarral-El Pardo,3593,865500
3,t,Inmobiliaria MetroCuadrado,03-09-2016,6.4,28011,3.0,1.0,1.0,259.0,,,La Latina,7570,585000
1,u,Inmobiliaria Don Piso,03-09-2016,6.4,28001,1.0,1.0,0.0,50.0,,2007.0,Ciudad Lineal,7570,85000
3,h,Inmobiliaria NuevaVida,03-09-2016,9.2,28002,3.0,2.0,3.0,680.0,170,1935.0,Chueca,10412,1735000
2,u,Inmobiliaria Zome,03-09-2016,9.2,28002,,,,,,,Malasaña,10412,490000
2,h,Tecnocasa,03-09-2016,9.2,28016,3.0,1.0,2.0,653.0,,,Villa de Vallecas,10412,1699000
4,h,Redpiso,03-09-2016,9.2,28018,4.0,3.0,2.0,856.0,265,1920.0,Usera,10412,3400000
5,h,Inmobiliaria La Playa,03-09-2016,9.2,28031,4.0,3.0,2.0,919.0,353,1925.0,Arganzuela,10412,3730000
3,t,Inmobiliaria MetroCuadrado,03-09-2016,13.0,28005,,,,,,,Carabanchel,8870,585000
3,h,Vivienda2,03-09-2016,13.0,28012,3.0,1.0,2.0,696.0,118,1960.0,Barajas,8870,610000
3,t,Engel & Völkers,03-09-2016,13.0,28007,,,,,,,Paseo de la Castellana,8870,480000
3,h,Inmobiliaria Fincas Asesoria,03-09-2016,13.0,28026,,,,,,,Moncloa-Aravaca,8870,681500
3,h,Inmobiliaria Novo,03-09-2016,13.0,28032,,,,,,,La Latina,8870,640000
3,h,Inmobiliaria Tecnorete,03-09-2016,13.0,28006,,,,,,,Chamartín,8870,712000
3,h,Inmobiliaria Soluciones,03-09-2016,13.6,28030,3.0,2.0,2.0,608.0,138,2001.0,Chueca,1071,631000
3,t,Inmobiliaria MetroCuadrado,03-09-2016,13.6,28013,3.0,2.0,1.0,149.0,19,2005.0,Centro,1071,532000
3,h,Gilmar,03-09-2016,12.1,28016,3.0,1.0,2.0,597.0,116,1960.0,Paseo de la Castellana,2606,605000
3,h,Inmobiliaria Interlar,03-09-2016,12.1,28028,,,,,,,Arganzuela,2606,570000
3,h,Inmobiliaria Gicoc,03-09-2016,12.1,28028,3.0,1.0,2.0,724.0,103,1970.0,Vicálvaro,2606,685500
2,u,Inmobiliaria La Playa,03-09-2016,13.7,28013,2.0,1.0,1.0,228.0,87,1975.0,Villaverde,5454,895000
2,u,Redpiso,03-09-2016,13.7,28032,2.0,1.0,1.0,50.0,74,1975.0,Centro,5454,587000
4,h,Inmobiliaria Habita2,03-09-2016,13.7,28027,3.0,3.0,2.0,701.0,320,2015.0,Fuencarral-El Pardo,5454,2800000
2,u,Century 21,03-09-2016,13.7,28017,2.0,1.0,1.0,832.0,,,Hortaleza,5454,720000
4,h,Inmobiliaria Fincas Asesoria,03-09-2016,13.7,28016,4.0,3.0,2.0,928.0,300,1904.0,Salamanca,5454,3250000
4,h,Inmobiliaria Soluciones,03-09-2016,14.5,28022,,,,,,,Tetuán,2356,1525000
4,h,Inmobiliaria La Playa,03-09-2016,4.6,28025,4.0,2.0,2.0,317.0,210,2005.0,Ciudad Universitaria,11308,1650000
2,h,Redpiso,03-09-2016,10.5,28028,2.0,1.0,2.0,589.0,120,1930.0,La Latina,2947,815000
5,h,Redpiso,03-09-2016,9.4,28014,3.0,2.0,2.0,415.0,,,Salamanca,2674,765000
3,h,Inmobiliaria NuevaVida,03-09-2016,9.4,28010,2.0,1.0,2.0,624.0,86,1965.0,Paseo de la Castellana,2674,691000
2,h,Inmobiliaria Proincasa,03-09-2016,13.0,28007,2.0,1.0,1.0,732.0,97,1950.0,Retiro,3145,1550000
2,u,Inmobiliaria Don Piso,03-09-2016,13.0,28018,2.0,1.0,1.0,50.0,76,1970.0,Ciudad Universitaria,3145,516000
2,u,Inmobiliaria Soluciones,03-09-2016,7.9,28011,2.0,1.0,1.0,50.0,,,Tetuán,5549,480000
3,h,Remax,03-09-2016,12.8,28011,3.0,2.0,2.0,683.0,200,1995.0,Centro,5629,703000
3,h,Inmobiliaria Zome,03-09-2016,12.8,28002,,,,,,,San Blas-Canillejas,5629,680000
3,h,Redpiso,03-09-2016,12.8,28031,3.0,1.0,1.0,538.0,104,1970.0,Retiro,5629,650000
3,h,Donpiso,03-09-2016,4.2,28002,2.0,1.0,1.0,258.0,64,,Salamanca,5263,785000
3,h,Donpiso,03-09-2016,4.2,28024,3.0,1.0,1.0,166.0,138,2000.0,Cuzco,5263,852000
3,h,Inmobiliaria Habita2,03-09-2016,4.2,28008,3.0,1.0,1.0,188.0,106,1910.0,Hortaleza,5263,1037000
3,h,Inmobiliaria Barreras,03-09-2016,5.6,28017,3.0,1.0,2.0,396.0,,1990.0,Tetuán,10331,1635000
2,h,Inmobiliaria Barreras,03-09-2016,5.6,28027,2.0,2.0,1.0,697.0,,,Arganzuela,10331,4800000
3,u,Inmobiliaria Fincas Asesoria,03-09-2016,5.6,28008,,,,,,,Villaverde,10331,970000
5,h,Housell,03-09-2016,5.6,28022,,,,,,,Chueca,10331,6240000
4,h,Inmobiliaria Gicoc,03-09-2016,7.5,28006,,,,,,,Villa de Vallecas,2671,2040000
4,h,Inmobiliaria Interlar,03-09-2016,7.5,28004,3.0,2.0,2.0,712.0,14,,Centro,2671,2490000
2,u,Inmobiliaria Interlar,03-09-2016,7.5,28006,2.0,1.0,1.0,50.0,,1970.0,Villa de Vallecas,2671,620000
3,h,Inmobiliaria MetroCuadrado,03-09-2016,9.2,28013,3.0,1.0,3.0,564.0,,,Latina,3873,670000
3,t,Look & Find,03-09-2016,9.2,28017,3.0,2.0,2.0,165.0,161,2007.0,Chueca,3873,615000
3,h,Inmobiliaria Tecnorete,03-09-2016,9.2,28012,3.0,1.0,1.0,576.0,128,1970.0,Ciudad Lineal,3873,715000
4,h,Inmobiliaria Habita2,03-09-2016,9.2,28021,4.0,2.0,2.0,308.0,185,2012.0,Ciudad Universitaria,3873,826000
3,h,Engel & Völkers,03-09-2016,7.4,28002,,,,,,,Malasaña,4675,2500000
4,h,Idealista,03-09-2016,7.4,28004,,,,,,,Cuzco,4675,3850000
3,h,Inmobiliaria Fincas Asesoria,03-09-2016,11.2,28019,3.0,1.0,1.0,322.0,137,1910.0,Ciudad Universitaria,8801,1490000
3,h,Engel & Völkers,03-09-2016,11.2,28028,3.0,2.0,1.0,337.0,146,1993.0,Fuencarral-El Pardo,8801,1210000
4,h,Alfa Inmobiliaria,03-09-2016,11.2,28012,3.0,2.0,2.0,644.0,,,Villa de Vallecas,8801,1300000
4,h,Inmobiliaria Zome,03-09-2016,11.2,28027,3.0,2.0,4.0,727.0,,,Embajadores,8801,1675000
1,u,Inmobiliaria Novo,03-09-2016,2.8,28010,,,,,,,Usera,17496,400000
3,h,Inmobiliaria Bankia,03-09-2016,4.1,28012,3.0,1.0,1.0,279.0,133,1900.0,Puente de Vallecas,2019,2600000
2,h,Redpiso,03-09-2016,11.8,28004,2.0,1.0,1.0,613.0,115,1950.0,Villaverde,2079,1320000
4,h,Inmobiliaria Gicoc,03-09-2016,11.8,28025,4.0,2.0,2.0,1388.0,,,Moncloa-Aravaca,2079,2850000
3,u,Inmobiliaria Grupo Fincasa,03-09-2016,6.9,28030,3.0,2.0,2.0,50.0,120,2000.0,Chamartín,6232,670000
3,h,Inmobiliaria MetroCuadrado,03-09-2016,14.6,28021,3.0,1.0,3.0,834.0,143,1960.0,Villaverde,2555,1224000
3,h,Inmobiliaria Grupo Fincasa,03-09-2016,14.6,28030,3.0,1.0,3.0,771.0,,,Chamartín,2555,1020000
3,h,Inmobiliaria Interlar,03-09-2016,14.6,28016,3.0,2.0,2.0,573.0,150,1970.0,Latina,2555,1000000
1,u,Inmobiliaria Interlar,03-09-2016,14.6,28027,1.0,1.0,1.0,106.0,51,1990.0,Salamanca,2555,380500
3,h,Inmobiliaria Fincas Asesoria,03-09-2016,8.4,28018,3.0,2.0,2.0,301.0,195,,Moratalaz,5498,1025000
3,h,Vivienda2,03-09-2016,8.4,28007,2.0,1.0,2.0,281.0,100,1957.0,Retiro,5498,826000
3,t,Inmobiliaria La Playa,03-09-2016,11.2,28011,3.0,3.0,2.0,303.0,236,2013.0,Villa de Vallecas,2291,830000
4,t,Inmobiliaria Tecnorete,03-09-2016,11.2,28011,,,,,,,Villa de Vallecas,2291,1065000
3,h,Idealista,03-09-2016,11.2,28004,3.0,2.0,2.0,274.0,,,Moncloa-Aravaca,2291,780000
3,h,Housell,03-09-2016,11.2,28031,,,,,,,Carabanchel,2291,950000
3,h,Idealista,03-09-2016,11.2,28006,,,,,,,Malasaña,2291,950000
4,h,Inmobiliaria Activa,03-09-2016,2.3,28013,4.0,3.0,4.0,310.0,276,1880.0,Salamanca,6821,2920000
3,h,Inmobiliaria Interlar,03-09-2016,2.3,28004,2.0,1.0,0.0,517.0,,,Ciudad Universitaria,6821,1635000
1,u,Remax,03-09-2016,2.3,28011,1.0,1.0,1.0,50.0,,,Embajadores,6821,491000
2,h,Idealista,03-09-2016,5.5,28002,2.0,1.0,1.0,245.0,108,1890.0,Usera,11364,1286000
3,h,Inmobiliaria Novo,03-09-2016,5.5,28016,3.0,1.0,1.0,215.0,125,1920.0,Puente de Vallecas,11364,1200000
3,h,Inmobiliaria NuevaVida,03-09-2016,5.5,28002,3.0,2.0,2.0,286.0,188,2007.0,Chamartín,11364,1382500
2,u,Century 21,03-09-2016,5.5,28005,2.0,2.0,1.0,50.0,,,Salamanca,11364,630000
4,h,Inmobiliaria Barreras,03-09-2016,5.5,28011,4.0,2.0,1.0,464.0,179,1910.0,Chueca,11364,1600000
4,t,Engel & Völkers,03-09-2016,11.5,28020,,,,,,,Hortaleza,2651,670000
3,h,Inmobiliaria Interlar,03-09-2016,11.5,28004,3.0,1.0,3.0,757.0,,,Lavapiés,2651,892000
2,h,Inmobiliaria Barreras,03-09-2016,11.5,28011,2.0,1.0,2.0,577.0,,,Villa de Vallecas,2651,592000
4,h,Redpiso,03-09-2016,14.7,28013,,,,,,,Cuzco,3692,991000
2,h,Inmobiliaria Barreras,03-09-2016,14.7,28018,,,,,,,Centro,3692,1242000
2,t,Inmobiliaria La Playa,03-09-2016,14.7,28027,,,,,,,Arganzuela,3692,665000
3,t,Inmobiliaria MetroCuadrado,03-09-2016,14.7,28008,3.0,2.0,1.0,189.0,123,,Vicálvaro,3692,680000
4,h,Inmobiliaria Gicoc,03-09-2016,2.6,28026,4.0,2.0,2.0,357.0,249,2009.0,Cuzco,2309,1230000
3,h,Inmobiliaria Gicoc,03-09-2016,9.9,28031,2.0,1.0,2.0,100.0,141,1950.0,Usera,7485,1120000
3,h,Redpiso,03-09-2016,9.9,28029,3.0,1.0,4.0,560.0,120,1960.0,Embajadores,7485,770000
2,u,Redpiso,03-09-2016,3.8,28019,2.0,2.0,1.0,50.0,,,Vicálvaro,8648,1100000
2,u,Inmobiliaria Activa,03-09-2016,3.8,28021,,,,,,,Salamanca,8648,650000
3,h,Inmobiliaria Bankia,03-09-2016,3.8,28005,,,,,,,Ciudad Lineal,8648,1681000
2,u,Inmobiliaria Don Piso,03-09-2016,4.5,28012,2.0,1.0,1.0,50.0,,,Chamberí,7717,650000
1,u,Inmobiliaria MetroCuadrado,03-09-2016,4.5,28012,1.0,1.0,1.0,50.0,34,1960.0,Moratalaz,7717,342000
4,h,Inmobiliaria MetroCuadrado,03-09-2016,4.5,28029,,,,,,,Chamartín,7717,2680000
2,h,Donpiso,03-09-2016,4.5,28018,2.0,1.0,1.0,88.0,121,2000.0,Moratalaz,7717,950000
2,u,Inmobiliaria Activa,03-09-2016,4.5,28010,2.0,1.0,1.0,50.0,73,1930.0,Puente de Vallecas,7717,781000
3,h,Inmobiliaria Fincas Asesoria,03-09-2016,8.8,28022,3.0,1.0,2.0,644.0,141,1980.0,Vicálvaro,14577,1250000
3,h,Inmobiliaria Zome,03-09-2016,8.8,28026,3.0,1.0,2.0,584.0,,,Carabanchel,14577,855000
4,h,Gilmar,03-09-2016,8.8,28002,4.0,2.0,2.0,604.0,180,1920.0,Moratalaz,14577,930000
4,h,Inmobiliaria Barreras,03-09-2016,8.8,28027,4.0,2.0,1.0,530.0,,1940.0,La Latina,14577,900000
3,h,Inmobiliaria Proincasa,03-09-2016,8.8,28025,,,,,,,Tetuán,14577,1030000
4,h,Look & Find,03-09-2016,8.8,28020,3.0,0.0,0.0,650.0,,,Carabanchel,14577,1004000
2,u,Inmobiliaria Fincas Asesoria,03-09-2016,8.8,28018,,,,,,,La Latina,14577,540000
3,h,Gilmar,03-09-2016,8.8,28002,3.0,1.0,2.0,518.0,,,Retiro,14577,930000
3,u,Inmobiliaria Grupo Fincasa,03-09-2016,11.2,28012,,,,,,,Barajas,21650,666000
3,u,Inmobiliaria Proincasa,03-09-2016,11.2,28017,3.0,1.0,1.0,191.0,107,1990.0,Paseo de la Castellana,21650,475000
3,h,Housell,03-09-2016,11.2,28028,,,,,,,Villa de Vallecas,21650,738000
2,t,Inmobiliaria Soluciones,03-09-2016,11.2,28014,,,,,,,Centro,21650,355000
3,h,Inmobiliaria Bankia,03-09-2016,11.2,28006,,,,,,,Fuencarral-El Pardo,21650,590000
2,u,Inmobiliaria Novo,03-09-2016,11.2,28032,2.0,1.0,1.0,189.0,84,2012.0,Puente de Vallecas,21650,415000
2,h,Tecnocasa,03-09-2016,11.2,28023,,,,,,,Usera,21650,428000
2,h,Inmobiliaria NuevaVida,03-09-2016,2.6,28032,2.0,1.0,1.0,125.0,103,1950.0,Salamanca,14949,937000
3,h,Look & Find,03-09-2016,2.6,28013,2.0,1.0,0.0,203.0,81,1900.0,Centro,14949,1260000
3,h,Inmobiliaria Bankia,03-09-2016,2.6,28015,,,,,,,Malasaña,14949,1820000
3,t,Inmobiliaria Interlar,03-09-2016,2.6,28008,3.0,2.0,1.0,675.0,,,Carabanchel,14949,1236000
2,u,Inmobiliaria Proincasa,03-09-2016,2.6,28018,2.0,2.0,1.0,656.0,,,Tetuán,14949,540000
2,u,Inmobiliaria Barreras,03-09-2016,2.6,28027,2.0,1.0,2.0,50.0,85,1997.0,Moncloa-Aravaca,14949,795250
2,u,Inmobiliaria Tecnorete,03-09-2016,2.6,28015,2.0,1.0,1.0,50.0,75,2001.0,San Blas-Canillejas,14949,582000
1,u,Inmobiliaria MetroCuadrado,03-09-2016,2.6,28001,1.0,1.0,1.0,50.0,,,Salamanca,14949,500000
5,h,Idealista,03-09-2016,11.4,28013,4.0,2.0,1.0,629.0,207,1960.0,Tetuán,3540,1101500
3,h,Redpiso,03-09-2016,6.6,28006,3.0,1.0,1.0,350.0,116,1890.0,Ciudad Lineal,2417,1145000
2,u,Inmobiliaria Barreras,03-09-2016,2.1,28005,2.0,2.0,1.0,50.0,83,2012.0,Malasaña,5943,593000
4,h,Inmobiliaria Zome,03-09-2016,2.1,28014,,,,,,,Embajadores,5943,2000000
3,h,Housell,03-09-2016,2.1,28010,3.0,2.0,1.0,88.0,93,1890.0,Ciudad Universitaria,5943,1600000
2,u,Look & Find,03-09-2016,3.3,28016,,,,,,,Salamanca,14887,531000
2,u,Inmobiliaria NuevaVida,03-09-2016,3.3,28027,,,,,,,Cuzco,14887,788750
1,u,Inmobiliaria Gicoc,03-09-2016,3.3,28032,2.0,1.0,1.0,50.0,,1970.0,Latina,14887,430000
